Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,Asiatic Region,235126,233883,1909601,1306438,8.12,224
2,United States,Northern America,157811,154288,1940563,639345,12.3,333
3,Japan,Asiatic Region,46032,45559,436961,109968,9.49,181
4,India,Asiatic Region,39893,38848,368175,123446,9.23,171
5,United Kingdom,Western Europe,38873,37780,536378,100038,13.8,208
6,Germany,Western Europe,32935,32227,367356,78265,11.15,186
7,Russian Federation,Eastern Europe,31880,31664,91906,42529,2.88,84
8,Canada,Northern America,29633,29011,491467,88987,16.59,210
9,Italy,Western Europe,23725,22819,312631,76446,13.18,155
10,South Korea,Asiatic Region,23451,23166,279709,53110,11.93,146
11,France,Western Europe,22429,21913,300015,58151,13.38,169
12,Iran,Middle East,19371,19085,242250,77012,12.51,127
13,Spain,Western Europe,18882,18529,312632,56968,16.56,163
14,Australia,Pacific Region,18077,17661,263733,44799,14.59,161
15,Brazil,Latin America,18024,17745,152380,37112,8.45,121
16,Taiwan,Asiatic Region,11700,11596,180159,25045,15.4,142
17,Turkey,Middle East,11273,10992,204214,41937,18.12,152
18,Netherlands,Western Europe,9710,9448,134337,17418,13.83,133
19,Norway,Western Europe,9643,9514,103992,21105,10.78,114
20,Malaysia,Asiatic Region,8869,8595,106596,25077,12.02,116
21,Sweden,Western Europe,8819,8603,152305,23635,17.27,141
22,Denmark,Western Europe,7777,7546,123580,20855,15.89,136
23,Saudi Arabia,Middle East,7433,7288,79584,12886,10.71,100
24,Poland,Eastern Europe,7079,6918,67535,16007,9.54,83
25,Switzerland,Western Europe,6670,6505,104099,14980,15.61,121
26,Egypt,Africa/Middle East,6077,5976,60829,10576,10.01,89
27,Mexico,Latin America,6058,5871,54227,9465,8.95,81
28,Ukraine,Eastern Europe,5700,5560,15703,8006,2.75,37
29,Portugal,Western Europe,5490,5189,67025,10908,12.21,95
30,Singapore,Asiatic Region,5446,5274,98913,9754,18.16,123
31,Greece,Western Europe,5234,5088,97781,13231,18.68,122
32,Belgium,Western Europe,5177,4991,68768,8733,13.28,101
33,Hong Kong,Asiatic Region,5119,5054,99228,11750,19.38,120
34,Romania,Eastern Europe,4908,4867,25156,5770,5.13,63
35,South Africa,Africa,4406,4301,38634,6715,8.77,75
36,Finland,Western Europe,4122,4003,52369,7952,12.7,87
37,Austria,Western Europe,3834,3693,43189,5031,11.26,84
38,Thailand,Asiatic Region,3726,3677,48192,6088,12.93,89
39,Indonesia,Asiatic Region,3588,3562,14786,3251,4.12,50
40,Czech Republic,Eastern Europe,3389,3329,17528,3830,5.17,53
41,Pakistan,Asiatic Region,3251,3200,20045,4126,6.17,56
42,Algeria,Africa,3205,3111,26589,5320,8.3,66
43,United Arab Emirates,Middle East,3036,2989,25446,2792,8.38,68
44,Colombia,Latin America,2457,2428,24886,3407,10.13,66
45,Ireland,Western Europe,2175,2130,43278,4867,19.9,95
46,New Zealand,Pacific Region,2027,1992,27159,2722,13.4,66
47,Nigeria,Africa,2026,1997,12832,2366,6.33,50
48,Argentina,Latin America,2025,1998,23263,3209,11.49,62
49,Israel,Middle East,1995,1944,30131,3827,15.1,77
50,Bangladesh,Asiatic Region,1947,1922,8908,1471,4.58,38
51,Chile,Latin America,1858,1806,17237,2329,9.28,55
52,Hungary,Eastern Europe,1652,1613,13667,2583,8.27,53
53,Tunisia,Africa,1645,1596,14674,2554,8.92,52
54,Serbia,Eastern Europe,1624,1597,15996,2446,9.85,53
55,Kuwait,Middle East,1614,1585,13968,1676,8.65,55
56,Croatia,Eastern Europe,1499,1447,11827,2154,7.89,47
57,Slovakia,Eastern Europe,1438,1408,5656,1492,3.93,32
58,Viet Nam,Asiatic Region,1437,1413,7537,1139,5.24,36
59,Iraq,Middle East,1362,1334,8277,1314,6.08,41
60,Bulgaria,Eastern Europe,1342,1335,12710,1764,9.47,52
61,Morocco,Africa,1335,1306,8514,1726,6.38,43
62,Qatar,Middle East,1269,1245,10908,1557,8.6,45
63,Venezuela,Latin America,1243,1238,12730,1130,10.24,55
64,Slovenia,Eastern Europe,1242,1206,16012,1677,12.89,60
65,Estonia,Eastern Europe,1106,1070,6773,2605,6.12,32
66,Jordan,Middle East,1045,1026,15256,1625,14.6,60
67,Oman,Middle East,899,885,8184,859,9.1,44
68,Kazakhstan,Asiatic Region,842,825,2405,565,2.86,20
69,Lithuania,Eastern Europe,838,816,4852,1130,5.79,30
70,Ecuador,Latin America,830,826,1950,449,2.35,19
71,Azerbaijan,Eastern Europe,743,741,1536,400,2.07,18
72,Lebanon,Middle East,702,696,9701,816,13.82,49
73,Latvia,Eastern Europe,651,648,2316,657,3.56,20
74,Cyprus,Western Europe,574,549,12061,773,21.01,51
75,Belarus,Eastern Europe,568,562,2001,416,3.52,21
76,Philippines,Asiatic Region,482,474,3888,655,8.07,34
77,Peru,Latin America,433,431,887,154,2.05,14
78,Sri Lanka,Asiatic Region,416,388,3879,321,9.32,26
79,Bosnia and Herzegovina,Eastern Europe,324,322,1889,303,5.83,22
80,Macao,Asiatic Region,320,307,2245,210,7.02,24
81,Libya,Africa,319,317,2207,128,6.92,23
82,Cuba,Latin America,309,303,2360,290,7.64,24
83,Kenya,Africa,302,288,2779,94,9.2,21
84,Iceland,Western Europe,298,289,1282,259,4.3,17
85,Brunei Darussalam,Asiatic Region,271,260,3004,233,11.08,26
86,Macedonia,Eastern Europe,253,248,2532,198,10.01,28
87,Ghana,Africa,252,248,1281,178,5.08,15
88,Trinidad and Tobago,Latin America,249,246,1366,103,5.49,17
89,Bahrain,Middle East,222,218,2026,77,9.13,24
90,Ethiopia,Africa,211,208,1205,167,5.71,18
91,Uruguay,Latin America,197,195,1824,180,9.26,24
92,Palestine,Middle East,190,187,1434,120,7.55,21
93,Luxembourg,Western Europe,184,178,1738,164,9.45,21
94,Nepal,Asiatic Region,169,169,1060,108,6.27,18
95,Moldova,Eastern Europe,167,152,239,99,1.43,8
96,Costa Rica,Latin America,150,149,524,87,3.49,11
97,Syrian Arab Republic,Middle East,144,139,1712,168,11.89,23
98,Cameroon,Africa,143,141,1110,165,7.76,18
99,Paraguay,Latin America,141,141,679,129,4.82,13
100,Armenia,Eastern Europe,141,140,1144,406,8.11,19
101,Sudan,Africa,134,134,804,52,6,15
102,Tanzania,Africa,130,129,1532,154,11.78,21
103,Puerto Rico,Latin America,126,124,1188,65,9.43,16
104,Malta,Western Europe,104,103,468,76,4.5,12
105,Uzbekistan,Asiatic Region,103,93,395,61,3.83,11
106,Uganda,Africa,100,88,485,31,4.85,9
107,Mauritius,Africa,97,90,473,41,4.88,11
108,Panama,Latin America,92,91,100,6,1.09,6
109,Georgia,Eastern Europe,89,86,170,8,1.91,5
110,Angola,Africa,81,81,363,6,4.48,10
111,Montenegro,Eastern Europe,78,78,354,84,4.54,8
112,Fiji,Pacific Region,72,70,558,51,7.75,12
113,Yemen,Middle East,69,69,727,75,10.54,15
114,Bolivia,Latin America,68,64,540,31,7.94,13
115,Mongolia,Asiatic Region,67,67,305,47,4.55,8
116,Botswana,Africa,65,49,258,10,3.97,9
117,Senegal,Africa,63,62,635,20,10.08,14
118,Burkina Faso,Africa,60,60,885,52,14.75,18
119,Albania,Eastern Europe,57,57,363,27,6.37,10
120,Zambia,Africa,56,56,143,9,2.55,7
121,Monaco,Western Europe,47,47,169,29,3.6,8
122,Zimbabwe,Africa,45,43,86,9,1.91,6
123,Benin,Africa,45,45,95,10,2.11,7
124,El Salvador,Latin America,41,41,51,7,1.24,3
125,Mozambique,Africa,41,38,216,26,5.27,8
126,Namibia,Africa,40,40,89,13,2.23,6
127,Rwanda,Africa,40,39,125,24,3.13,7
128,Myanmar,Asiatic Region,36,36,223,35,6.19,6
129,Kyrgyzstan,Asiatic Region,34,34,37,6,1.09,3
130,North Korea,Asiatic Region,33,33,105,18,3.18,6
131,Congo,Africa,33,33,56,7,1.7,4
132,Laos,Asiatic Region,33,31,54,1,1.64,4
133,Côte d’Ivoire,Africa,32,30,451,15,14.09,11
134,Cambodia,Asiatic Region,31,31,187,19,6.03,8
135,Nicaragua,Latin America,31,31,45,2,1.45,3
136,Malawi,Africa,29,29,173,15,5.97,6
137,Tajikistan,Asiatic Region,28,28,120,58,4.29,6
138,Jamaica,Latin America,28,28,159,12,5.68,7
139,Afghanistan,Asiatic Region,25,24,73,7,2.92,5
140,Niger,Africa,23,22,160,6,6.96,6
141,Bhutan,Asiatic Region,20,20,81,0,4.05,4
142,Mali,Africa,17,17,81,10,4.76,5
143,Dominican Republic,Latin America,16,16,46,3,2.88,3
144,Liechtenstein,Western Europe,16,16,139,8,8.69,8
145,Guatemala,Latin America,15,15,97,6,6.47,3
146,Madagascar,Africa,13,13,182,8,14,5
147,Togo,Africa,13,13,11,2,0.85,2
148,Papua New Guinea,Pacific Region,12,12,25,5,2.08,3
149,Lesotho,Africa,11,10,106,6,9.64,5
150,Swaziland,Africa,11,11,46,0,4.18,4
151,Gabon,Africa,11,11,72,0,6.55,3
152,Honduras,Latin America,11,11,16,3,1.45,3
153,Suriname,Latin America,11,11,31,0,2.82,2
154,Barbados,Latin America,10,10,27,5,2.7,3
155,Eritrea,Africa,10,10,55,2,5.5,3
156,Faroe Islands,Western Europe,9,9,55,10,6.11,5
157,Mauritania,Africa,9,9,55,0,6.11,3
158,Guinea,Africa,9,9,45,1,5,3
159,Turkmenistan,Asiatic Region,8,8,26,0,3.25,3
160,Burundi,Africa,8,8,60,1,7.5,3
161,Cape Verde,Africa,7,7,42,1,6,2
162,Sierra Leone,Africa,7,7,30,2,4.29,2
163,French Guiana,Latin America,6,6,7,1,1.17,1
164,Guadeloupe,Latin America,6,6,29,0,4.83,2
165,Djibouti,Africa,6,6,49,0,8.17,3
166,Bermuda,Latin America,6,6,15,0,2.5,1
167,Equatorial Guinea,Africa,6,6,37,0,6.17,2
168,Chad,Africa,5,5,8,0,1.6,2
169,New Caledonia,Pacific Region,5,5,48,1,9.6,2
170,Netherlands Antilles,Latin America,4,4,20,0,5,1
171,Guyana,Latin America,4,4,4,0,1,1
172,Belize,Latin America,4,4,13,1,3.25,2
173,Maldives,Asiatic Region,4,3,107,0,26.75,3
174,Liberia,Africa,3,3,31,3,10.33,2
175,Haïti,Latin America,3,3,8,1,2.67,2
176,Democratic Republic Congo,Africa,3,3,3,0,1,1
177,Greenland,Western Europe,3,3,121,0,40.33,3
178,Reunion,Africa,3,3,9,1,3,2
179,American Samoa,Pacific Region,3,3,2,0,0.67,1
180,Samoa,Pacific Region,3,3,33,1,11,1
181,Andorra,Western Europe,2,2,24,0,12,1
182,French Polynesia,Pacific Region,2,2,39,0,19.5,2
183,Saint Lucia,Latin America,2,2,0,0,0,0
184,Cayman Islands,Latin America,2,2,5,0,2.5,1
185,Seychelles,Africa,2,2,9,2,4.5,1
186,Guam,Pacific Region,2,2,9,1,4.5,2
187,Saint Helena,Africa,2,2,62,0,31,1
188,Gambia,Africa,2,2,0,0,0,0
189,Gibraltar,Western Europe,2,2,18,0,9,1
190,Timor-Leste,Asiatic Region,2,2,0,0,0,0
191,Nauru,Pacific Region,2,2,2,0,1,1
192,Antigua and Barbuda,Latin America,2,2,1,1,0.5,1
193,Christmas Island,Pacific Region,1,1,0,0,0,0
194,Republic of South Sudan,Africa,1,1,4,0,4,1
195,Central African Republic,Africa,1,1,0,0,0,0
196,Somalia,Africa,1,1,3,0,3,1
197,Solomon Islands,Pacific Region,1,1,5,0,5,1
198,Bahamas,Latin America,1,1,0,0,0,0
199,Guinea-Bissau,Africa,1,1,7,2,7,1
200,British Indian Ocean Territory,Africa,1,1,67,0,67,1
201,Kiribati,Pacific Region,1,1,17,0,17,1
202,Comoros,Africa,1,1,0,0,0,0
203,Palau,Pacific Region,1,1,0,0,0,0
204,Montserrat,Latin America,1,1,2,0,2,1
205,Sao Tome and Principe,Africa,1,1,0,0,0,0
